"Minister of Defence","Office of the Chief of Defence Staff"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","Department of Agrarian Development"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","Agriculture and Agrarian Insurance Board"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","Paddy Marketing Board"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","Hector Kobbekaduwa Agrarian Research and Training Institute"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","Sri Lanka Council for Agricultural Research Policy"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","National Agricultural Diversification and Settlement Authority"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","National Fertilizer Secretariat"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","State Fertilizer Company Ltd."
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board)"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","Institute of Post-Harvest Management"
"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources","Department of Animal Production and Health"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Attorney General's Department"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Legal Draftsman's Department"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Department of Debt Conciliation Board"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Department of Government Analyst"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Office of the Registrar of the Supreme Court"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Law Commission of Sri Lanka"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Superior Courts Complex Board of Management"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Legal Aid Commission of Sri Lanka"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Mediation Boards Commission"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Council of Legal Education"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Commercial Mediation Centre of Sri Lanka"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Sri Lanka International Arbitration Centre (Guarantee) Ltd."
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","National Authority for the Protection of Victims of Crime and Witnesses"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Department of Prisons"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Community Based Correction Department"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Training Schools for Youthful Offenders"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Rehabilitation Commissioner General's Office"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Department of Pensions"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Sri Lanka Institute of Development Administration"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Distance Learning Centre Ltd."
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","National Human Resources Development Council of Sri Lanka"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Public Service Pensioners' Trust Fund"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Local Government Service Pension Fund"
"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour","Local Government Widows' and Orphans' Pension Fund"
"Minister of Women, Child and Youth Affairs and Sports","National Committee on Women"
"Minister of Women, Child and Youth Affairs and Sports","Sri Lanka Women’s Bureau"
"Minister of Women, Child and Youth Affairs and Sports","Department of Probation and Childcare Services"
"Minister of Women, Child and Youth Affairs and Sports","National Child Protection Authority"
"Minister of Women, Child and Youth Affairs and Sports","National Secretariat for Early Childhood Development"
"Minister of Women, Child and Youth Affairs and Sports","National Youth Services Council"
"Minister of Women, Child and Youth Affairs and Sports","National Youth Corps"
"Minister of Women, Child and Youth Affairs and Sports","National Youth Services Cooperative Society Limited"
"Minister of Women, Child and Youth Affairs and Sports","National Centre for Leadership Development"
"Minister of Women, Child and Youth Affairs and Sports","Department of Sports Development"
"Minister of Women, Child and Youth Affairs and Sports","National Sports Council"
"Minister of Women, Child and Youth Affairs and Sports","National Institute of Sports Science"
"Minister of Women, Child and Youth Affairs and Sports","Sugathadasa National Sports Complex Authority"
"Minister of Women, Child and Youth Affairs and Sports","Institute of Sports Medicine"
"Minister of Women, Child and Youth Affairs and Sports","Sri Lanka Anti-doping Agency"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Department of Commerce"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Lanka Sathosa Ltd."
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Co-operative Wholesale Establishment"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Mahapola Trust Fund"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Sri Lanka Accreditation Board for Conformity Assessment"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Department of Measurement Units, Standards and Services"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Regional Economic Centers"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","National Intellectual Property Office of Sri Lanka"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Consumer Affairs Authority"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Department of Co-operative Development (Registrar of Co-operative Societies)"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Co-operative Employees Commission"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","National Institute of Co-operative Development"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Ceylon Industrial Development Board"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Lanka Leyland Ltd."
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","National Paper Corporation Ltd."
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Lanka Cement Ltd."
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Kahatagaha Graphite Lanka Ltd."
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Ceylon Ceramics Corporation (Brick and Tiles Division)"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","National Enterprise Development Authority"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Lanka Mineral Sands Company"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Small and Medium Enterprises Venture Capital Company"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Small and Medium Enterprises Authority"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Timber-related Design Centre"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","National Crafts Council"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Department of Textile Industries"
"Minister of Health","National Health Council"
"Minister of Health","Medical Research Institute"
"Minister of Health","National Institute of Health Sciences"
"Minister of Health","Sri Lanka Medical Council"
"Minister of Health","Sri Lanka Medical College Council"
"Minister of Health","Private Health Services Regulatory Council"
"Minister of Health","Department of Health Services"
"Minister of Health","All National, Teaching and Specific Government Hospitals"
"Minister of Health","School of Medical Laboratory Technology"
"Minister of Health","National Institute of Nephrology, Dialysis and Transplantation"
"Minister of Health","Sri Jayawardenepura General Hospital"
"Minister of Health","Vijaya Kumaratunga Memorial Hospital"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Central Environmental Authority"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Geological Survey and Mines Bureau"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","SMB Technical Services (Pvt) Ltd."
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Sri Lanka Climate Fund (Pvt) Ltd"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Marine Environment Protection Authority"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Department of Coast Conservation and Coastal Resource Management"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Department of Forest Conservation"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Department of Wildlife Conservation"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Department of National Zoological Gardens"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","State Timber Corporation"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","National Water Supply and Drainage Board"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Water Resources Board"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Department of National Community Water Supply"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","New Villages Development Authority for Plantation Region"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Plantation Human Development Trust"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Saumyamoorthi Thondaman Memorial Foundation"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Estate Sector Self-Employment Revolving Fund"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","National Institute of Plantation Management"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Sri Lanka Tea Board"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Tea Small Holdings Development Authority"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Tea Research Institute"
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure","Tea and Rubber Estates (Control of Fragmentation) Board"
"Minister of Rural and Urban Development, Housing and Construction","Urban Development Authority"
"Minister of Rural and Urban Development, Housing and Construction","Urban Settlement Development Authority"
"Minister of Rural and Urban Development, Housing and Construction","Selendiva investments Limited"
"Minister of Rural and Urban Development, Housing and Construction","Hotel Developers (Lanka) PLC (PQ 143)"
"Minister of Rural and Urban Development, Housing and Construction","National Physical Planning Department"
"Minister of Rural and Urban Development, Housing and Construction","Condominium Management Authority (Common Amenities Board)"
"Minister of Rural and Urban Development, Housing and Construction","Sri Lanka Land Development Corporation and its subsidiaries and related institutions"
"Minister of Rural and Urban Development, Housing and Construction","National Housing Development Authority"
"Minister of Rural and Urban Development, Housing and Construction","Building Material Corporation Limited"
"Minister of Rural and Urban Development, Housing and Construction","Department of Buildings"
"Minister of Rural and Urban Development, Housing and Construction","Department of Government Factories"
"Minister of Rural and Urban Development, Housing and Construction","Construction Industry Development Authority"
"Minister of Rural and Urban Development, Housing and Construction","Ocean View Development (Pvt) Ltd."
"Minister of Rural and Urban Development, Housing and Construction","State Engineering Corporation"
"Minister of Rural and Urban Development, Housing and Construction","National Equipment and Machinery Organization"
